Exercise name, sets, reps, recommended weight, when to increase the weight and by how much, link to YouTube short tutorial
DAY 1 - Upper (horizontal focus), , , , , 
Dumbbell Bench Press, 4, 6-10, RPE 7-8 (~2 reps in reserve), When all 4 sets hit 10 reps for 2 workouts -> +5 lb per dumbbell, https://www.youtube.com/shorts/8RGZJKLcATU
One-Arm Dumbbell Row (each side), 3, 8-12, RPE 7-8, Top of range for 2 workouts -> +5 lb per dumbbell, https://www.youtube.com/shorts/haDEmdUKfrs
Seated Dumbbell Shoulder Press, 3, 8-12, RPE 7-8, Top of range for 2 workouts -> +5 lb per dumbbell, https://www.youtube.com/shorts/E9ShwbwZ1zw
Cable Chest Fly (mid height), 3, 12-15, RPE ~8 (last 2 reps tough), When all sets reach 15 reps -> next cable plate (~5 lb), https://www.youtube.com/shorts/xDVD1Cy3Nqs
Face Pull (rope), 3, 12-15, RPE ~8, When all sets hit 15 reps -> next cable plate (~5 lb), https://www.youtube.com/shorts/Et3eTWO2kQE
Dumbbell Preacher Curl, 3, 10-15, RPE 7-8, When you get 15 reps on all sets -> +2.5-5 lb per dumbbell, https://www.youtube.com/shorts/54kF4fR-ObE
Cable Triceps Pushdown (rope), 3, 10-15, RPE 7-8, When you reach 15 reps on all sets -> next cable plate (~5 lb), https://www.youtube.com/shorts/Hn7An4PDLYQ
Cable Crunch (abs), 3, 12-15, RPE 7-8, When you hit 15 reps comfortably -> next cable plate (~5 lb), https://www.youtube.com/shorts/dkGwcfo9zto

DAY 2 - Lower + Core (A), , , , , 
Goblet Squat, 4, 8-12, RPE 7-8, When all sets reach 12 reps twice -> +5 lb (next dumbbell/plate), https://www.youtube.com/shorts/EUrU0HcPkQ8
Dumbbell Romanian Deadlift, 3, 8-12, RPE 7-8, When all sets reach 12 reps twice -> +5-10 lb total, https://www.youtube.com/shorts/uYIlkIHksyk
Bulgarian Split Squat (each leg), 3, 8-12, RPE 7-8, When all sets reach 12 reps -> +5 lb per dumbbell, https://www.youtube.com/shorts/Us52wOAui2Q
Leg Extension (bench attachment), 3, 12-15, RPE ~8, When sets hit 15 reps -> next plate (~5 lb), https://www.youtube.com/shorts/dNMUtQ6Fy4U
Lying Leg Curl (bench attachment), 3, 12-15, RPE ~8, When sets hit 15 reps -> next plate (~5 lb), https://www.youtube.com/shorts/d6sg829PgNs
Standing Calf Raise (dumbbells), 3, 12-20, RPE ~8; full stretch at bottom, When sets hit 20 reps -> +5 lb per dumbbell, https://www.youtube.com/shorts/PQ-F5uzxipQ
Reverse Crunch on Bench (abs), 3, 12-15, Bodyweight; slow 2-3s down, When 3x15 is easy -> add reps up to 20 or hold a light (5 lb) plate between knees, https://www.youtube.com/shorts/eAdyaHlaCiU

DAY 3 - Upper (vertical/back focus), , , , , 
Lat Pulldown (cable), 4, 8-12, RPE 7-8; full stretch each rep, When all sets hit 12 reps -> next cable plate (~5 lb), https://www.youtube.com/shorts/EoWI90clb-0
Incline Dumbbell Bench Press, 3, 8-12, RPE 7-8, When all sets hit 12 reps -> +5 lb per dumbbell, https://www.youtube.com/watch?v=PZecKOpWOrk
Seated Cable Row (close/neutral grip), 3, 8-12, RPE 7-8, When all sets hit 12 reps -> next cable plate (~5 lb), https://www.youtube.com/shorts/lOetNpBFChY
Dumbbell Lateral Raise, 3, 12-15, RPE ~8; strict form, When all sets hit 15 reps -> +2.5 lb per dumbbell, https://www.youtube.com/shorts/O1VrfbSFYLA
Hammer Curl (dumbbells), 3, 10-15, RPE 7-8, When all sets hit 15 reps -> +2.5-5 lb per dumbbell, https://www.youtube.com/watch?v=wzQFTrlcDlg
Overhead Rope Triceps Extension, 3, 10-15, RPE 7-8, When sets hit 15 reps -> next cable plate (~5 lb), https://www.youtube.com/shorts/8dV3ZHUdPW0
Pallof Press (anti-rotation, each side), 3, 10-12/side, RPE ~8; brace hard, When all sets hit 12/side -> next cable plate (~5 lb), https://www.youtube.com/shorts/IgQE_DKZEIc

DAY 4 - Lower + Core (B), , , , , 
Dumbbell Hip Thrust, 4, 8-12, RPE 7-8; pause 1s at top, When all sets hit 12 reps -> +10 lb total, https://www.youtube.com/shorts/QqtLsnNthbA
Cyclist Squat (heels elevated, goblet), 3, 10-15, RPE ~8; slow eccentric, When sets hit 15 reps -> +5 lb, https://www.youtube.com/shorts/US8zFTTV2bY
Step-Up (dumbbells, each leg), 3, 8-12/leg, RPE 7-8, When sets hit 12/leg -> +5 lb per dumbbell, https://www.youtube.com/shorts/CYQ0qNAXDOM
